fp16_bits,fp16_value,ref_bf16_bits,ref_bf16_value,mpfr_bf16_bits,mpfr_bf16_value,ref_gelu_f64,mpfr_gelu_f64
0xC835,-8.4140625,0x8000,-0.0,0xA540,-1.6653345369377348e-16,-0.0,-1.666192732736422e-16
0xC836,-8.421875,0x8000,-0.0,0xA534,-1.5612511283791264e-16,-0.0,-1.5601786879651445e-16
0xC837,-8.4296875,0x8000,-0.0,0xA528,-1.457167719820518e-16,-0.0,-1.460820688352307e-16
0xC838,-8.4375,0x8000,-0.0,0xA51E,-1.3704315460216776e-16,-0.0,-1.3677066070923605e-16
0xC839,-8.4453125,0x8000,-0.0,0xA514,-1.2836953722228372e-16,-0.0,-1.2804494668714737e-16
0xC83A,-8.453125,0x8000,-0.0,0xA50A,-1.196959198423997e-16,-0.0,-1.1986859283813213e-16
0xC83B,-8.4609375,0x8000,-0.0,0xA501,-1.1188966420050406e-16,-0.0,-1.1220748682281487e-16
0xC83C,-8.46875,0x8000,-0.0,0xA4F2,-1.0495077029659683e-16,-0.0,-1.0502960410386041e-16
0xC83D,-8.4765625,0x8000,-0.0,0xA4E3,-9.84455572616838e-17,-0.0,-9.830488208607661e-17
0xC83E,-8.484375,0x8000,-0.0,0xA4D4,-9.194034422677078e-17,-0.0,-9.200510172390958e-17
0xC83F,-8.4921875,0x8000,-0.0,0xA4C7,-8.630249292984615e-17,-0.0,-8.6103776160661e-17
0xC840,-8.5,0x8000,-0.0,0xA4BA,-8.066464163292153e-17,-0.0,-8.05760459887282e-17
0xC841,-8.5078125,0x8000,-0.0,0xA4AE,-7.546047120499111e-17,-0.0,-7.539858074373334e-17
0xC842,-8.515625,0x8000,-0.0,0xA4A3,-7.068998164605489e-17,-0.0,-7.054948626764794e-17
0xC843,-8.5234375,0x8000,-0.0,0xA498,-6.591949208711867e-17,-0.0,-6.600821759700388e-17
0xC844,-8.53125,0x8000,-0.0,0xA48E,-6.158268339717665e-17,-0.0,-6.175549705208334e-17
0xC845,-8.5390625,0x8000,-0.0,0xA485,-5.767955557622884e-17,-0.0,-5.77732372216615e-17
0xC846,-8.546875,0x8000,-0.0,0xA479,-5.399326818977812e-17,-0.0,-5.404446855550159e-17
0xC847,-8.5546875,0x8000,-0.0,0xA469,-5.0523821237824507e-17,-0.0,-5.055327129342768e-17
